processing_version,viewer_key,catalog_generation,grade_code,title_core,original_asset_state,processing_mode,canonical_processing_viewer_key,ocr_identity_eligible,is_canonical_processing_object,declared_positions,direct_source_jpegs,persistent_internal_source_gaps,recovered_internal_source_gaps,evidence_basis,block_reason,interpretive_limit
LTMD_U1_W3_SPANISH_PROCESSING_INVENTORY_0.1,H1960P2ES003,1960,2,MI CUADERNO DE TRABAJO Y ESCRITURA,full_direct,direct_canonical,H1960P2ES003,1,1,219,218,0,0,direct_source_jpeg_manifest,,Operational processing topology only. Catalog identities remain separate; aliases do not establish bibliographic identity or edition year.
LTMD_U1_W3_SPANISH_PROCESSING_INVENTORY_0.1,H1960P3ES007,1960,3,MI LIBRO DE LENGUA NACIONAL,full_direct,direct_canonical,H1960P3ES007,1,1,131,130,0,0,direct_source_jpeg_manifest,,Operational processing topology only. Catalog identities remain separate; aliases do not establish bibliographic identity or edition year.
LTMD_U1_W3_SPANISH_PROCESSING_INVENTORY_0.1,H1960P4ES013,1960,4,MI LIBRO DE LENGUA NACIONAL,full_direct,direct_canonical,H1960P4ES013,1,1,129,128,0,0,direct_source_jpeg_manifest,,Operational processing topology only. Catalog identities remain separate; aliases do not establish bibliographic identity or edition year.
LTMD_U1_W3_SPANISH_PROCESSING_INVENTORY_0.1,H1966P1ES345,1966,1,MI CUADERNO DE TRABAJO DE LENGUA NACIONAL,full_direct,direct_canonical,H1966P1ES345,1,1,219,218,0,0,direct_source_jpeg_manifest,,Operational processing topology only. Catalog identities remain separate; aliases do not establish bibliographic identity or edition year.
LTMD_U1_W3_SPANISH_PROCESSING_INVENTORY_0.1,H1966P2ES347,1966,2,MI CUADERNO DE TRABAJO DE LENGUA NACIONAL,full_direct,direct_canonical,H1966P2ES347,1,1,217,216,0,0,direct_source_jpeg_manifest,,Operational processing topology only. Catalog identities remain separate; aliases do not establish bibliographic identity or edition year.
LTMD_U1_W3_SPANISH_PROCESSING_INVENTORY_0.1,H1966P3ES350,1966,3,MI LIBRO DE LENGUA NACIONAL,full_direct,direct_canonical,H1966P3ES350,1,1,131,130,0,0,direct_source_jpeg_manifest,,Operational processing topology only. Catalog identities remain separate; aliases do not establish bibliographic identity or edition year.
LTMD_U1_W3_SPANISH_PROCESSING_INVENTORY_0.1,H1966P4ES358,1966,4,MI LIBRO DE LENGUA NACIONAL,full_direct,direct_canonical,H1966P4ES358,1,1,131,130,0,0,direct_source_jpeg_manifest,,Operational processing topology only. Catalog identities remain separate; aliases do not establish bibliographic identity or edition year.
LTMD_U1_W3_SPANISH_PROCESSING_INVENTORY_0.1,H1966P5ES365,1966,5,MI CUADERNO DE TRABAJO DE LENGUA NACIONAL,full_direct,direct_canonical,H1966P5ES365,1,1,195,194,0,0,direct_source_jpeg_manifest,,Operational processing topology only. Catalog identities remain separate; aliases do not establish bibliographic identity or edition year.
LTMD_U1_W3_SPANISH_PROCESSING_INVENTORY_0.1,H1966P5ES366,1966,5,MI LIBRO DE LENGUA NACIONAL,full_direct,direct_canonical,H1966P5ES366,1,1,211,210,0,0,direct_source_jpeg_manifest,,Operational processing topology only. Catalog identities remain separate; aliases do not establish bibliographic identity or edition year.
LTMD_U1_W3_SPANISH_PROCESSING_INVENTORY_0.1,H1966P6ES376,1966,6,MI CUADERNO DE TRABAJO DE LENGUA NACIONAL,full_direct,direct_canonical,H1966P6ES376,1,1,195,194,0,0,direct_source_jpeg_manifest,,Operational processing topology only. Catalog identities remain separate; aliases do not establish bibliographic identity or edition year.
