page_id,viewer_key,catalog_generation,grade,title_core,viewer_page,selected_psm,recognized_words,mean_word_confidence,low_confidence_word_rate,ocr_class,front_matter_score,toc_navigation_score,bibliography_credits_score,primary_structure,classification_certainty,classification_rule,evidence_flags,classifier_version
U1-H1960P2ES003-P001,H1960P2ES003,1960,2,MI CUADERNO DE TRABAJO Y ESCRITURA,1,6,156,32.05,0.9103,text_detected,0,0,0,visual_only,high,OCR_VISUAL_NOISE,front_zone;fallback_psm;visual_noise,PAGESTRUCT_LTMD_U1_W3_SPANISH_0.1
U1-H1960P2ES003-P002,H1960P2ES003,1960,2,MI CUADERNO DE TRABAJO Y ESCRITURA,2,3,24,91.82,0.0833,text_detected,0,0,0,mixed_text_image,medium,OCR_MODERATE_TEXT,front_zone;text_present,PAGESTRUCT_LTMD_U1_W3_SPANISH_0.1
U1-H1960P2ES003-P003,H1960P2ES003,1960,2,MI CUADERNO DE TRABAJO Y ESCRITURA,3,3,7,96.43,0.0000,text_detected,0,0,0,mixed_text_image,low,OCR_SPARSE_HIGH_CONF,front_zone,PAGESTRUCT_LTMD_U1_W3_SPANISH_0.1
U1-H1960P2ES003-P004,H1960P2ES003,1960,2,MI CUADERNO DE TRABAJO Y ESCRITURA,4,3,7,25.04,1.0000,text_detected,0,0,0,unknown,low,CONSERVATIVE_UNKNOWN,front_zone,PAGESTRUCT_LTMD_U1_W3_SPANISH_0.1
U1-H1960P2ES003-P005,H1960P2ES003,1960,2,MI CUADERNO DE TRABAJO Y ESCRITURA,5,3,73,58.64,0.5205,text_detected,0,0,0,unknown,low,CONSERVATIVE_UNKNOWN,front_zone,PAGESTRUCT_LTMD_U1_W3_SPANISH_0.1
U1-H1960P2ES003-P006,H1960P2ES003,1960,2,MI CUADERNO DE TRABAJO Y ESCRITURA,6,3,38,76.45,0.1316,text_detected,0,0,2,bibliography_or_credits,high,KW_BIBLIO_CREDITS,front_zone;text_present;biblio_credit_kw,PAGESTRUCT_LTMD_U1_W3_SPANISH_0.1
U1-H1960P2ES003-P007,H1960P2ES003,1960,2,MI CUADERNO DE TRABAJO Y ESCRITURA,7,3,3,82.49,0.3333,text_detected,0,0,0,unknown,low,CONSERVATIVE_UNKNOWN,front_zone,PAGESTRUCT_LTMD_U1_W3_SPANISH_0.1
U1-H1960P2ES003-P008,H1960P2ES003,1960,2,MI CUADERNO DE TRABAJO Y ESCRITURA,8,6,98,20.17,0.9490,text_detected,0,0,0,visual_only,high,OCR_VISUAL_NOISE,front_zone;fallback_psm;visual_noise,PAGESTRUCT_LTMD_U1_W3_SPANISH_0.1
U1-H1960P2ES003-P009,H1960P2ES003,1960,2,MI CUADERNO DE TRABAJO Y ESCRITURA,9,3,79,89.01,0.1013,text_detected,0,0,0,mixed_text_image,medium,OCR_MODERATE_TEXT,front_zone;text_present,PAGESTRUCT_LTMD_U1_W3_SPANISH_0.1
U1-H1960P2ES003-P010,H1960P2ES003,1960,2,MI CUADERNO DE TRABAJO Y ESCRITURA,10,3,116,87.54,0.0948,text_detected,0,0,0,mixed_text_image,medium,OCR_MODERATE_TEXT,front_zone;text_present,PAGESTRUCT_LTMD_U1_W3_SPANISH_0.1
U1-H1960P2ES003-P011,H1960P2ES003,1960,2,MI CUADERNO DE TRABAJO Y ESCRITURA,11,3,121,87.95,0.0744,text_detected,0,0,0,textual,high,OCR_TEXT_RICH,front_zone;text_rich,PAGESTRUCT_LTMD_U1_W3_SPANISH_0.1
U1-H1960P2ES003-P012,H1960P2ES003,1960,2,MI CUADERNO DE TRABAJO Y ESCRITURA,12,3,133,89.57,0.0677,text_detected,0,0,0,textual,high,OCR_TEXT_RICH,front_zone;text_rich,PAGESTRUCT_LTMD_U1_W3_SPANISH_0.1
U1-H1960P2ES003-P013,H1960P2ES003,1960,2,MI CUADERNO DE TRABAJO Y ESCRITURA,13,3,106,89.10,0.0755,text_detected,0,0,0,mixed_text_image,medium,OCR_MODERATE_TEXT,front_zone;text_present,PAGESTRUCT_LTMD_U1_W3_SPANISH_0.1
U1-H1960P2ES003-P014,H1960P2ES003,1960,2,MI CUADERNO DE TRABAJO Y ESCRITURA,14,3,121,91.13,0.0248,text_detected,0,0,0,textual,high,OCR_TEXT_RICH,front_zone;text_rich,PAGESTRUCT_LTMD_U1_W3_SPANISH_0.1
U1-H1960P2ES003-P015,H1960P2ES003,1960,2,MI CUADERNO DE TRABAJO Y ESCRITURA,15,3,98,83.07,0.1633,text_detected,0,0,0,mixed_text_image,medium,OCR_MODERATE_TEXT,front_zone;text_present,PAGESTRUCT_LTMD_U1_W3_SPANISH_0.1
