processing_version,viewer_key,catalog_generation,grade_code,title_core,original_source_state,processing_mode,canonical_processing_viewer_key,ocr_identity_eligible,is_canonical_processing_object,declared_positions,direct_source_jpegs,terminal_synthetic_candidates,persistent_internal_source_gaps,evidence_basis,block_reason,interpretive_limit
LTMD_U1_W4_SOCIAL_SCIENCES_PROCESSING_0.1,H1972P1CI060,1972,1,CIENCIAS SOCIALES,full_direct_source,direct_canonical,H1972P1CI060,1,1,85,84,1,0,full_direct_asset_audit_no_internal_gaps_no_complete_byte_exact_alias,,Operational processing topology only; canonical processing status does not establish edition year or curricular equivalence.
LTMD_U1_W4_SOCIAL_SCIENCES_PROCESSING_0.1,H1972P2CI065,1972,2,CIENCIAS SOCIALES,full_direct_source,direct_canonical,H1972P2CI065,1,1,131,130,1,0,full_direct_asset_audit_no_internal_gaps_no_complete_byte_exact_alias,,Operational processing topology only; canonical processing status does not establish edition year or curricular equivalence.
LTMD_U1_W4_SOCIAL_SCIENCES_PROCESSING_0.1,H1972P3CI072,1972,3,CIENCIAS SOCIALES,full_direct_source,direct_canonical,H1972P3CI072,1,1,115,114,1,0,full_direct_asset_audit_no_internal_gaps_no_complete_byte_exact_alias,,Operational processing topology only; canonical processing status does not establish edition year or curricular equivalence.
LTMD_U1_W4_SOCIAL_SCIENCES_PROCESSING_0.1,H1972P4CI078,1972,4,CIENCIAS SOCIALES,full_direct_source,direct_canonical,H1972P4CI078,1,1,227,226,1,0,full_direct_asset_audit_no_internal_gaps_no_complete_byte_exact_alias,,Operational processing topology only; canonical processing status does not establish edition year or curricular equivalence.
LTMD_U1_W4_SOCIAL_SCIENCES_PROCESSING_0.1,H1972P5CI085,1972,5,CIENCIAS SOCIALES,full_direct_source,direct_canonical,H1972P5CI085,1,1,291,290,1,0,full_direct_asset_audit_no_internal_gaps_no_complete_byte_exact_alias,,Operational processing topology only; canonical processing status does not establish edition year or curricular equivalence.
LTMD_U1_W4_SOCIAL_SCIENCES_PROCESSING_0.1,H1972P6CI091,1972,6,CIENCIAS SOCIALES,full_direct_source,direct_canonical,H1972P6CI091,1,1,211,210,1,0,full_direct_asset_audit_no_internal_gaps_no_complete_byte_exact_alias,,Operational processing topology only; canonical processing status does not establish edition year or curricular equivalence.
LTMD_U1_W4_SOCIAL_SCIENCES_PROCESSING_0.1,H1982P4CI384,1982,4,CIENCIAS SOCIALES,full_direct_source,direct_canonical,H1982P4CI384,1,1,147,146,1,0,full_direct_asset_audit_no_internal_gaps_no_complete_byte_exact_alias,,Operational processing topology only; canonical processing status does not establish edition year or curricular equivalence.
LTMD_U1_W4_SOCIAL_SCIENCES_PROCESSING_0.1,H1982P5CI390,1982,5,CIENCIAS SOCIALES,full_direct_source,direct_canonical,H1982P5CI390,1,1,147,146,1,0,full_direct_asset_audit_no_internal_gaps_no_complete_byte_exact_alias,,Operational processing topology only; canonical processing status does not establish edition year or curricular equivalence.
LTMD_U1_W4_SOCIAL_SCIENCES_PROCESSING_0.1,H1982P6CI396,1982,6,CIENCIAS SOCIALES,full_direct_source,direct_canonical,H1982P6CI396,1,1,269,268,1,0,full_direct_asset_audit_no_internal_gaps_no_complete_byte_exact_alias,,Operational processing topology only; canonical processing status does not establish edition year or curricular equivalence.
LTMD_U1_W4_SOCIAL_SCIENCES_PROCESSING_0.1,H1988P3CI115,1988,3,CIENCIAS SOCIALES,full_direct_source,direct_canonical,H1988P3CI115,1,1,129,128,1,0,full_direct_asset_audit_no_internal_gaps_no_complete_byte_exact_alias,,Operational processing topology only; canonical processing status does not establish edition year or curricular equivalence.
LTMD_U1_W4_SOCIAL_SCIENCES_PROCESSING_0.1,H1988P4CI120,1988,4,CIENCIAS SOCIALES,full_direct_source,direct_canonical,H1988P4CI120,1,1,147,146,1,0,full_direct_asset_audit_no_internal_gaps_no_complete_byte_exact_alias,,Operational processing topology only; canonical processing status does not establish edition year or curricular equivalence.
LTMD_U1_W4_SOCIAL_SCIENCES_PROCESSING_0.1,H1988P5CI124,1988,5,CIENCIAS SOCIALES,full_direct_source,direct_canonical,H1988P5CI124,1,1,147,146,1,0,full_direct_asset_audit_no_internal_gaps_no_complete_byte_exact_alias,,Operational processing topology only; canonical processing status does not establish edition year or curricular equivalence.
LTMD_U1_W4_SOCIAL_SCIENCES_PROCESSING_0.1,H1988P6CI130,1988,6,CIENCIAS SOCIALES,full_direct_source,direct_canonical,H1988P6CI130,1,1,211,210,1,0,full_direct_asset_audit_no_internal_gaps_no_complete_byte_exact_alias,,Operational processing topology only; canonical processing status does not establish edition year or curricular equivalence.
LTMD_U1_W4_SOCIAL_SCIENCES_PROCESSING_0.1,H2008P2CI256,2008,2,EXPLORACIOÓN DE NATURALEZA Y LA SOCIEDAD,full_direct_source,direct_canonical,H2008P2CI256,1,1,171,170,1,0,full_direct_asset_audit_no_internal_gaps_no_complete_byte_exact_alias,,Operational processing topology only; canonical processing status does not establish edition year or curricular equivalence.
