page_id,book_id,catalog_generation,grade,viewer_page,selected_psm,recognized_words,mean_word_confidence,low_confidence_word_rate,ocr_class,front_matter_score,toc_navigation_score,bibliography_credits_score,primary_structure,classification_certainty,classification_rule,evidence_flags,classifier_version
LTMD-CN1-G1972-VP001,LTMD-CN1-G1972,1972,1,1,3,2,95.95,0.0000,text_detected,0,0,0,unknown,low,CONSERVATIVE_UNKNOWN,front_zone,PAGESTRUCT_CN_WAVE2_0.1
LTMD-CN1-G1972-VP002,LTMD-CN1-G1972,1972,1,2,3,301,92.38,0.0266,text_detected,0,0,2,bibliography_or_credits,high,KW_BIBLIO_CREDITS,front_zone;text_rich;biblio_credit_kw,PAGESTRUCT_CN_WAVE2_0.1
LTMD-CN1-G1972-VP003,LTMD-CN1-G1972,1972,1,3,3,37,70.66,0.2973,text_detected,0,0,0,mixed_text_image,medium,OCR_MODERATE_TEXT,front_zone;text_present,PAGESTRUCT_CN_WAVE2_0.1
LTMD-CN1-G1972-VP004,LTMD-CN1-G1972,1972,1,4,3,4,92.57,0.0000,text_detected,0,0,0,mixed_text_image,low,OCR_SPARSE_HIGH_CONF,front_zone,PAGESTRUCT_CN_WAVE2_0.1
LTMD-CN1-G1972-VP005,LTMD-CN1-G1972,1972,1,5,3,7,69.20,0.4286,text_detected,0,0,0,unknown,low,CONSERVATIVE_UNKNOWN,front_zone,PAGESTRUCT_CN_WAVE2_0.1
LTMD-CN1-G1972-VP006,LTMD-CN1-G1972,1972,1,6,6,50,26.68,0.9600,text_detected,0,0,0,visual_only,high,OCR_VISUAL_NOISE,front_zone;fallback_psm;visual_noise,PAGESTRUCT_CN_WAVE2_0.1
LTMD-CN1-G1972-VP007,LTMD-CN1-G1972,1972,1,7,3,9,76.16,0.2222,text_detected,0,0,0,mixed_text_image,low,OCR_SPARSE_HIGH_CONF,front_zone,PAGESTRUCT_CN_WAVE2_0.1
LTMD-CN1-G1972-VP008,LTMD-CN1-G1972,1972,1,8,3,8,90.87,0.0000,text_detected,0,0,0,mixed_text_image,low,OCR_SPARSE_HIGH_CONF,front_zone,PAGESTRUCT_CN_WAVE2_0.1
LTMD-CN1-G1972-VP009,LTMD-CN1-G1972,1972,1,9,6,24,35.20,0.8333,text_detected,0,0,0,visual_only,high,OCR_VISUAL_NOISE,front_zone;fallback_psm;visual_noise,PAGESTRUCT_CN_WAVE2_0.1
LTMD-CN1-G1972-VP010,LTMD-CN1-G1972,1972,1,10,11,15,46.99,0.6000,text_detected,0,0,0,unknown,low,CONSERVATIVE_UNKNOWN,front_zone;fallback_psm,PAGESTRUCT_CN_WAVE2_0.1
