processing_version,viewer_key,catalog_generation,grade_code,title_core,source_gate_decision,processing_mode,canonical_processing_viewer_key,ocr_identity_eligible,is_canonical_processing_object,declared_positions,direct_source_jpegs,persistent_internal_source_gaps,evidence_basis,block_reason,interpretive_limit
LTMD_U1_W7_PROCESSING_0.1,H2008P1CI250,2008,1,FORMACIÓN CÍVICA Y ÉTICA,ocr_source_admitted,direct_canonical,H2008P1CI250,1,1,115,114,0,source_admitted_no_complete_byte_exact_alias,,Operational OCR topology only; catalog identity and curricular interpretation remain independent of processing status.
LTMD_U1_W7_PROCESSING_0.1,H2008P1CI251,2008,1,FORMACIÓN CÍVICA Y ÉTICA CUADERNO DE TRABAJO,ocr_source_admitted,direct_canonical,H2008P1CI251,1,1,83,82,0,source_admitted_no_complete_byte_exact_alias,,Operational OCR topology only; catalog identity and curricular interpretation remain independent of processing status.
LTMD_U1_W7_PROCESSING_0.1,H2008P2CI257,2008,2,FORMACIÓN CÍVICA Y ÉTICA,ocr_source_admitted,direct_canonical,H2008P2CI257,1,1,75,74,0,source_admitted_no_complete_byte_exact_alias,,Operational OCR topology only; catalog identity and curricular interpretation remain independent of processing status.
LTMD_U1_W7_PROCESSING_0.1,H2008P2CI258,2008,2,FORMACIÓN CÍVICA Y ÉTICA CUADERNO DE TRABAJO,ocr_source_admitted,direct_canonical,H2008P2CI258,1,1,83,82,0,source_admitted_no_complete_byte_exact_alias,,Operational OCR topology only; catalog identity and curricular interpretation remain independent of processing status.
LTMD_U1_W7_PROCESSING_0.1,H2008P3CI264,2008,3,FORMACIÓN CÍVICA Y ÉTICA,ocr_source_admitted,direct_canonical,H2008P3CI264,1,1,75,74,0,source_admitted_no_complete_byte_exact_alias,,Operational OCR topology only; catalog identity and curricular interpretation remain independent of processing status.
LTMD_U1_W7_PROCESSING_0.1,H2008P4CI269,2008,4,FORMACIÓN CÍVICA Y ÉTICA,ocr_source_admitted,direct_canonical,H2008P4CI269,1,1,91,90,0,source_admitted_no_complete_byte_exact_alias,,Operational OCR topology only; catalog identity and curricular interpretation remain independent of processing status.
LTMD_U1_W7_PROCESSING_0.1,H2008P5CI278,2008,5,FORMACIÓN CÍVICA Y ÉTICA,ocr_source_admitted,direct_canonical,H2008P5CI278,1,1,87,86,0,source_admitted_no_complete_byte_exact_alias,,Operational OCR topology only; catalog identity and curricular interpretation remain independent of processing status.
LTMD_U1_W7_PROCESSING_0.1,H2008P6CI286,2008,6,FORMACIÓN CÍVICA Y ÉTICA,ocr_source_admitted,direct_canonical,H2008P6CI286,1,1,91,90,0,source_admitted_no_complete_byte_exact_alias,,Operational OCR topology only; catalog identity and curricular interpretation remain independent of processing status.
LTMD_U1_W7_PROCESSING_0.1,H2011P1CI294,2011,1,FORMACIÓN CÍVICA Y ÉTICA,ocr_source_admitted,direct_canonical,H2011P1CI294,1,1,162,161,0,source_admitted_no_complete_byte_exact_alias,,Operational OCR topology only; catalog identity and curricular interpretation remain independent of processing status.
LTMD_U1_W7_PROCESSING_0.1,H2011P2CI301,2011,2,FORMACIÓN CÍVICA Y ÉTICA 2° GRADO,ocr_source_admitted,direct_canonical,H2011P2CI301,1,1,154,153,0,source_admitted_no_complete_byte_exact_alias,,Operational OCR topology only; catalog identity and curricular interpretation remain independent of processing status.
