viewer_key,scope,exact_uri_or_pattern,source_checked,access_date,outcome,evidence_class,admissibility_change,notes
H2014P5FCA,logical_page_104,https://historico.conaliteg.gob.mx/c/H2014P5FCA/104.jpg,CONALITEG_current_contract,2026-08-30,"Exact institutional route remains the expected route under the frozen viewer contract; no recovered bytes were obtained in this pass.",current_route_no_recovery,no,"Existing manifest retains 224 served JPEG and one gap at 104.jpg."
H2014P5FCA,logical_page_104,https://web.archive.org/cdx/search/cdx?url=historico.conaliteg.gob.mx/c/H2014P5FCA/104.jpg&output=json,Wayback_CDX,2026-08-30,"Index request failed/timed out from independent access paths; technically inconclusive.",archive_probe_inconclusive,no,"Do not interpret as zero historical captures."
H2014P5FCA,logical_page_104,https://index.commoncrawl.org/CC-MAIN-2026-34-index?url=historico.conaliteg.gob.mx/c/H2014P5FCA/104.jpg&output=json,Common_Crawl_CC-MAIN-2026-34,2026-08-30,"No usable capture record was returned through the available access path.",index_no_usable_record,no,"Not evidence of historical absence; no WARC bytes were obtained."
H2014P5FCA,route_contract,https://github.com/jlochoap/LTGbasic,independent_technical_repository,2026-08-30,"Independent public downloader documentation corroborates the historical /c/{clave}/{page}.jpg routing convention, but contains no target source bytes.",routing_corroboration_only,no,"Not manifestation evidence."
H2018P3FCA,full_asset_subtree,https://historico.conaliteg.gob.mx/c/H2018P3FCA/{ag_page}.jpg,CONALITEG_current_contract,2026-08-30,"Viewer/configuration remains present; prior exact-route conformity probe found sampled assets unserved and no alternative institutional route has been identified.",active_subtree_retention,no,"No 2019 alias or guessed relocation permitted."
H2018P3FCA,full_asset_subtree,https://web.archive.org/cdx/search/cdx?url=historico.conaliteg.gob.mx/c/H2018P3FCA/*&output=json,Wayback_CDX,2026-08-30,"Index request failed/timed out; technically inconclusive.",archive_probe_inconclusive,no,"Do not interpret as absence."
H2018P3FCA,full_asset_subtree,https://index.commoncrawl.org/CC-MAIN-2026-34-index?url=historico.conaliteg.gob.mx/c/H2018P3FCA/*&output=json,Common_Crawl_CC-MAIN-2026-34,2026-08-30,"No usable capture record was returned through the available access path.",index_no_usable_record,no,"No WARC bytes obtained."
H2018P4FCA,full_asset_subtree,https://historico.conaliteg.gob.mx/c/H2018P4FCA/{ag_page}.jpg,CONALITEG_current_contract,2026-08-30,"Viewer/configuration remains present; prior exact-route conformity probe found sampled assets unserved and no alternative institutional route has been identified.",active_subtree_retention,no,"No 2019 alias or guessed relocation permitted."
H2018P4FCA,full_asset_subtree,https://web.archive.org/cdx/search/cdx?url=historico.conaliteg.gob.mx/c/H2018P4FCA/*&output=json,Wayback_CDX,2026-08-30,"Index request failed/timed out; technically inconclusive.",archive_probe_inconclusive,no,"Do not interpret as absence."
H2018P4FCA,full_asset_subtree,https://index.commoncrawl.org/CC-MAIN-2026-34-index?url=historico.conaliteg.gob.mx/c/H2018P4FCA/*&output=json,Common_Crawl_CC-MAIN-2026-34,2026-08-30,"No usable capture record was returned through the available access path.",index_no_usable_record,no,"No WARC bytes obtained."
H2018P5FCA,full_asset_subtree,https://historico.conaliteg.gob.mx/c/H2018P5FCA/{ag_page}.jpg,CONALITEG_current_contract,2026-08-30,"Viewer/configuration remains present; prior exact-route conformity probe found sampled assets unserved and no alternative institutional route has been identified.",active_subtree_retention,no,"No 2019 alias or guessed relocation permitted."
H2018P5FCA,full_asset_subtree,https://web.archive.org/cdx/search/cdx?url=historico.conaliteg.gob.mx/c/H2018P5FCA/*&output=json,Wayback_CDX,2026-08-30,"Index request failed/timed out; technically inconclusive.",archive_probe_inconclusive,no,"Do not interpret as absence."
H2018P5FCA,full_asset_subtree,https://index.commoncrawl.org/CC-MAIN-2026-34-index?url=historico.conaliteg.gob.mx/c/H2018P5FCA/*&output=json,Common_Crawl_CC-MAIN-2026-34,2026-08-30,"Index access returned an upstream error; technically inconclusive.",archive_probe_inconclusive,no,"No WARC bytes obtained."
H2018P6FCA,full_asset_subtree,https://historico.conaliteg.gob.mx/c/H2018P6FCA/{ag_page}.jpg,CONALITEG_current_contract,2026-08-30,"Viewer/configuration remains present; prior exact-route conformity probe found sampled assets unserved and no alternative institutional route has been identified.",active_subtree_retention,no,"No 2019 alias or guessed relocation permitted."
H2018P6FCA,full_asset_subtree,https://web.archive.org/cdx/search/cdx?url=historico.conaliteg.gob.mx/c/H2018P6FCA/*&output=json,Wayback_CDX,2026-08-30,"Index request failed/timed out; technically inconclusive.",archive_probe_inconclusive,no,"Do not interpret as absence."
H2018P6FCA,full_asset_subtree,https://index.commoncrawl.org/CC-MAIN-2026-34-index?url=historico.conaliteg.gob.mx/c/H2018P6FCA/*&output=json,Common_Crawl_CC-MAIN-2026-34,2026-08-30,"No usable capture record was returned through the available access path.",index_no_usable_record,no,"No WARC bytes obtained."
