analysis_version,book_id,page_id,viewer_page,fragment_id,candidate_type,token_count,text_sha256,exact_text_present_in_other_book
CN46_FRAGMENT_OVERLAP_0.1,LTMD-CN4-G1972,LTMD-CN4-G1972-VP003,3,LTMD-CN4-G1972-VP003-F001,short_residual_candidate,2,a0d1da43d7bf4ec26e1e1ca205a3cddae8d7cb0a96063a3e71fc8f7875a2381e,1
CN46_FRAGMENT_OVERLAP_0.1,LTMD-CN4-G1972,LTMD-CN4-G1972-VP003,3,LTMD-CN4-G1972-VP003-F002,short_residual_candidate,2,5c895c927e684d66bd14262692b2ced20a691464cfbcb65e11e274a139188763,1
CN46_FRAGMENT_OVERLAP_0.1,LTMD-CN4-G1972,LTMD-CN4-G1972-VP006,6,LTMD-CN4-G1972-VP006-F001,short_residual_candidate,5,4d0a1222887fa2340f3626ccee15ea199390793d264adf0d00d92b61ad6a6284,1
CN46_FRAGMENT_OVERLAP_0.1,LTMD-CN4-G1972,LTMD-CN4-G1972-VP006,6,LTMD-CN4-G1972-VP006-F002,question_candidate,18,3c635d1675cc231c2c64963c46651253ee256a38ce4af40a176195fc1889dd05,1
CN46_FRAGMENT_OVERLAP_0.1,LTMD-CN4-G1972,LTMD-CN4-G1972-VP006,6,LTMD-CN4-G1972-VP006-F003,expository_candidate,29,effcad3c3149cad85e635bf72991d9a86161cba68747eef3b1bff7dc00e4e794,1
CN46_FRAGMENT_OVERLAP_0.1,LTMD-CN4-G1972,LTMD-CN4-G1972-VP006,6,LTMD-CN4-G1972-VP006-F004,activity_candidate,39,de615186cd7bf7f56be922e47e3984a17f7c38c79076004ce73a4100ee501729,1
CN46_FRAGMENT_OVERLAP_0.1,LTMD-CN4-G1972,LTMD-CN4-G1972-VP006,6,LTMD-CN4-G1972-VP006-F005,question_candidate,9,3c58097dd2c091b235fca98c80dc4d409110e93953f54a47f0f5f3d43792e38b,1
CN46_FRAGMENT_OVERLAP_0.1,LTMD-CN4-G1972,LTMD-CN4-G1972-VP006,6,LTMD-CN4-G1972-VP006-F006,experiment_candidate,43,939acaf31e58095bff1b881cdfe84087fe11891dd90970a90b133887bb140dc2,1
CN46_FRAGMENT_OVERLAP_0.1,LTMD-CN4-G1972,LTMD-CN4-G1972-VP006,6,LTMD-CN4-G1972-VP006-F007,activity_candidate,50,717604e5d2f1751a89bfae938a21ae36207de26ea5304c8fb67dd588f6536daf,1
CN46_FRAGMENT_OVERLAP_0.1,LTMD-CN4-G1972,LTMD-CN4-G1972-VP006,6,LTMD-CN4-G1972-VP006-F008,question_candidate,7,20c4a7ca6435d1fc52799c1e69b332d67f8148bd6ce00e771ca83804ba1088a5,1
CN46_FRAGMENT_OVERLAP_0.1,LTMD-CN4-G1972,LTMD-CN4-G1972-VP006,6,LTMD-CN4-G1972-VP006-F009,activity_candidate,39,cac73a28aa4c0fd868ab0f1c1c0a39a4451ea6cf51a5a319cca33bf3474a0dce,1
CN46_FRAGMENT_OVERLAP_0.1,LTMD-CN4-G1972,LTMD-CN4-G1972-VP006,6,LTMD-CN4-G1972-VP006-F010,question_candidate,12,807fa3cfcd50585547232fdc7bf15ebd173fa69cd24873a820229d983c2d8cb5,1
CN46_FRAGMENT_OVERLAP_0.1,LTMD-CN4-G1972,LTMD-CN4-G1972-VP006,6,LTMD-CN4-G1972-VP006-F011,activity_candidate,9,375b15c33422ebad2e01426c2341bf850fbb9cbeadca98f04b6a59184e85c68e,1
CN46_FRAGMENT_OVERLAP_0.1,LTMD-CN4-G1972,LTMD-CN4-G1972-VP006,6,LTMD-CN4-G1972-VP006-F012,instruction_candidate,13,85fc55a86ca8178a5856c8b73e1e382c37a6981022f7e5284c11b14e4a44e423,1
CN46_FRAGMENT_OVERLAP_0.1,LTMD-CN4-G1972,LTMD-CN4-G1972-VP006,6,LTMD-CN4-G1972-VP006-F013,expository_candidate,35,cea0af250176445da301464b8f8cd6812d88581c7fd1cf8841150ad168454182,1
CN46_FRAGMENT_OVERLAP_0.1,LTMD-CN4-G1972,LTMD-CN4-G1972-VP009,9,LTMD-CN4-G1972-VP009-F001,short_residual_candidate,3,7657c308f57d5a7627726a41b8b8eff53723e7d87a30e1f05f14fa3087ec5441,1
CN46_FRAGMENT_OVERLAP_0.1,LTMD-CN4-G1972,LTMD-CN4-G1972-VP009,9,LTMD-CN4-G1972-VP009-F002,short_residual_candidate,2,945891bd4f3c6ef58842ae5480f64113c40836ee0083603917d1172f650e8d6e,1
CN46_FRAGMENT_OVERLAP_0.1,LTMD-CN4-G1972,LTMD-CN4-G1972-VP010,10,LTMD-CN4-G1972-VP010-F001,expository_candidate,18,79ce86f029da5d5897407344c8f753e3a38179eb0ff6088aa0dabfa4c91e2bdf,1
CN46_FRAGMENT_OVERLAP_0.1,LTMD-CN4-G1972,LTMD-CN4-G1972-VP010,10,LTMD-CN4-G1972-VP010-F002,short_residual_candidate,8,1c3ea11a3e3be31ec059c0ddda1b1f1f3b435a2f01ebecfb3d7ca1a75d0a9d82,1
CN46_FRAGMENT_OVERLAP_0.1,LTMD-CN4-G1972,LTMD-CN4-G1972-VP010,10,LTMD-CN4-G1972-VP010-F003,expository_candidate,44,a52a74fd5e5e1a124ddfb44b77d650ab8654b3635aa0143feffc2d1ba2830b76,1
CN46_FRAGMENT_OVERLAP_0.1,LTMD-CN4-G1972,LTMD-CN4-G1972-VP010,10,LTMD-CN4-G1972-VP010-F004,short_residual_candidate,7,f216001a92f492cb6b09f64b37e4f88afd63dc111c3dfb91fc7f981d1ac80dd7,1
CN46_FRAGMENT_OVERLAP_0.1,LTMD-CN4-G1972,LTMD-CN4-G1972-VP010,10,LTMD-CN4-G1972-VP010-F005,question_candidate,15,165af397db907555456fe1d97e3df12e175656ea0a38224bc596c038e546f6a8,1
CN46_FRAGMENT_OVERLAP_0.1,LTMD-CN4-G1972,LTMD-CN4-G1972-VP010,10,LTMD-CN4-G1972-VP010-F006,expository_candidate,46,7e86f5c9dec15911de783cc114160edb2aa902800e494854238d99bb8993456b,1
CN46_FRAGMENT_OVERLAP_0.1,LTMD-CN4-G1972,LTMD-CN4-G1972-VP010,10,LTMD-CN4-G1972-VP010-F007,instruction_candidate,17,64b2a403b23ae37c37abdfe3920c8c272656b53542d299f015086fc2e72732fa,1
CN46_FRAGMENT_OVERLAP_0.1,LTMD-CN4-G1972,LTMD-CN4-G1972-VP012,12,LTMD-CN4-G1972-VP012-F001,expository_candidate,51,2b2e481cc7dda8160ef4f314ccbadde2a39453f82e0eec457ecc41cf19e4dbb0,1
CN46_FRAGMENT_OVERLAP_0.1,LTMD-CN4-G1972,LTMD-CN4-G1972-VP012,12,LTMD-CN4-G1972-VP012-F002,short_residual_candidate,2,a77046cfe610e8f081f51a5802ef24e3ff91ec3fe5a5115bc26f33c80265d882,1
CN46_FRAGMENT_OVERLAP_0.1,LTMD-CN4-G1972,LTMD-CN4-G1972-VP012,12,LTMD-CN4-G1972-VP012-F003,expository_candidate,14,1494a5ee96a5167c26c7fb3cb54902e72eeeaf3cdc77be6b8f5442ce7f568abc,1
CN46_FRAGMENT_OVERLAP_0.1,LTMD-CN4-G1972,LTMD-CN4-G1972-VP013,13,LTMD-CN4-G1972-VP013-F001,expository_candidate,78,13dc798ce931db60b308db3584f03f6f17354f6ab2e86a0a3606e9f250d91863,1
CN46_FRAGMENT_OVERLAP_0.1,LTMD-CN4-G1972,LTMD-CN4-G1972-VP013,13,LTMD-CN4-G1972-VP013-F002,short_residual_candidate,6,a08e38391410454d02a117794e794c3adaaa79ac14e1df0cff01d28cf185bf32,1
CN46_FRAGMENT_OVERLAP_0.1,LTMD-CN4-G1972,LTMD-CN4-G1972-VP013,13,LTMD-CN4-G1972-VP013-F003,expository_candidate,66,6ea19513f7a7a0d1d039913359a05a370030755ad775d0db77b41cbf822260fd,1
