fragment_id,page_id,book_id,catalog_generation,viewer_page,fragment_sequence,candidate_type,token_count,char_count,source_structure_class,classification_certainty,text_sha256,uncertain_A,uncertain_B,action_jaccard,position_jaccard,action_exact_set,position_exact_set,stability_stratum,analysis_version,action_observe_A,action_observe_B,action_observe_consensus,action_observe_disagree,action_describe_A,action_describe_B,action_describe_consensus,action_describe_disagree,action_recall_A,action_recall_B,action_recall_consensus,action_recall_disagree,action_explain_A,action_explain_B,action_explain_consensus,action_explain_disagree,action_compare_A,action_compare_B,action_compare_consensus,action_compare_disagree,action_classify_A,action_classify_B,action_classify_consensus,action_classify_disagree,action_measure_A,action_measure_B,action_measure_consensus,action_measure_disagree,action_experiment_A,action_experiment_B,action_experiment_consensus,action_experiment_disagree,action_investigate_A,action_investigate_B,action_investigate_consensus,action_investigate_disagree,action_predict_A,action_predict_B,action_predict_consensus,action_predict_disagree,action_infer_A,action_infer_B,action_infer_consensus,action_infer_disagree,action_discuss_A,action_discuss_B,action_discuss_consensus,action_discuss_disagree,action_solve_A,action_solve_B,action_solve_consensus,action_solve_disagree,action_create_A,action_create_B,action_create_consensus,action_create_disagree,action_decide_A,action_decide_B,action_decide_consensus,action_decide_disagree,action_act_on_environment_A,action_act_on_environment_B,action_act_on_environment_consensus,action_act_on_environment_disagree,position_receiver_A,position_receiver_B,position_receiver_consensus,position_receiver_disagree,position_instruction_follower_A,position_instruction_follower_B,position_instruction_follower_consensus,position_instruction_follower_disagree,position_observer_A,position_observer_B,position_observer_consensus,position_observer_disagree,position_experimenter_A,position_experimenter_B,position_experimenter_consensus,position_experimenter_disagree,position_investigator_A,position_investigator_B,position_investigator_consensus,position_investigator_disagree,position_reasoner_A,position_reasoner_B,position_reasoner_consensus,position_reasoner_disagree,position_collaborator_A,position_collaborator_B,position_collaborator_consensus,position_collaborator_disagree,position_decision_maker_A,position_decision_maker_B,position_decision_maker_consensus,position_decision_maker_disagree,position_community_agent_A,position_community_agent_B,position_community_agent_consensus,position_community_agent_disagree
LTMD-CN5-G1972-VP003-F001,LTMD-CN5-G1972-VP003,LTMD-CN5-G1972,1972,3,1,heading_candidate,4,32,mixed_text_image,low,2ae838ad1aa911fc6e38277c5bd42929dfd156174561fff4c6060a9a6f420dd7,1,1,1.0,1.0,1,1,uncertain,HISTCOMP_0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LTMD-CN5-G1972-VP006-F001,LTMD-CN5-G1972-VP006,LTMD-CN5-G1972,1972,6,1,heading_candidate,5,24,textual,high,4d0a1222887fa2340f3626ccee15ea199390793d264adf0d00d92b61ad6a6284,0,1,1.0,1.0,1,1,uncertain,HISTCOMP_0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LTMD-CN5-G1972-VP006-F002,LTMD-CN5-G1972-VP006,LTMD-CN5-G1972,1972,6,2,expository_candidate,36,220,textual,high,5ec43d85fcf6f1866ce93eabb91fca4a5fd003a2ed755113920af75e3b9b870a,0,1,1.0,0.0,1,0,uncertain,HISTCOMP_0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
LTMD-CN5-G1972-VP006-F003,LTMD-CN5-G1972-VP006,LTMD-CN5-G1972,1972,6,3,question_candidate,28,164,textual,high,3508b95b7d51c0870dd15aa6310b1ae1fa3b9258faddc448cb71a31e64aa8839,0,0,1.0,0.0,1,0,method_sensitive,HISTCOMP_0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
LTMD-CN5-G1972-VP006-F004,LTMD-CN5-G1972-VP006,LTMD-CN5-G1972,1972,6,4,instruction_candidate,36,215,textual,high,6299eb7043e8e49a055f612d0f06dd7070f8ac5f30392c369f6f1ae38a28cfed,0,1,0.0,0.0,0,0,uncertain,HISTCOMP_0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
LTMD-CN5-G1972-VP006-F005,LTMD-CN5-G1972-VP006,LTMD-CN5-G1972,1972,6,5,instruction_candidate,31,164,textual,high,0c6cf0dfb6adbf0f1e3b0f413455f5e3f8e2274683820990a529dead42230b64,0,1,0.0,0.0,0,0,uncertain,HISTCOMP_0.1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LTMD-CN5-G1972-VP006-F006,LTMD-CN5-G1972-VP006,LTMD-CN5-G1972,1972,6,6,instruction_candidate,15,98,textual,high,2a45b4b3366ca78ccbc882af0fba74f7d5df101f4c7472cb8febd60154bdec28,0,1,0.333333,0.5,0,0,uncertain,HISTCOMP_0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LTMD-CN5-G1972-VP006-F007,LTMD-CN5-G1972-VP006,LTMD-CN5-G1972,1972,6,7,expository_candidate,17,97,textual,high,adec9ae7c1a6c7f22e5832e7695ce3749ca8052e3b56275be8b6999bb138244d,0,1,0.0,0.0,0,0,uncertain,HISTCOMP_0.1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1
LTMD-CN5-G1972-VP006-F008,LTMD-CN5-G1972-VP006,LTMD-CN5-G1972,1972,6,8,instruction_candidate,44,263,textual,high,eb653593d90342f0e2c30503243071c4b73682464cb1780cf8dc7b9e124c0eba,0,1,0.0,0.0,0,0,uncertain,HISTCOMP_0.1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LTMD-CN5-G1972-VP006-F009,LTMD-CN5-G1972-VP006,LTMD-CN5-G1972,1972,6,9,expository_candidate,55,320,textual,high,0c1197a2843611a47a9023239ea2402ab5b23be1763bb4f974092618aedda854,0,1,0.0,0.5,0,0,uncertain,HISTCOMP_0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
