fragment_id,page_id,catalog_generation,candidate_type,source_structure_class,action_jaccard,position_jaccard,action_exact_set,position_exact_set,action_empty_both,position_empty_both,action_size_A,action_size_B,position_size_A,position_size_B,uncertain_A,uncertain_B,stability_stratum,agreement_version
LTMD-CN5-G1972-VP003-F001,LTMD-CN5-G1972-VP003,1972,heading_candidate,mixed_text_image,1.0,1.0,1,1,1,1,0,0,0,0,1,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP006-F001,LTMD-CN5-G1972-VP006,1972,heading_candidate,textual,1.0,1.0,1,1,1,1,0,0,0,0,0,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP006-F002,LTMD-CN5-G1972-VP006,1972,expository_candidate,textual,1.0,0.0,1,0,1,0,0,0,1,2,0,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP006-F003,LTMD-CN5-G1972-VP006,1972,question_candidate,textual,1.0,0.0,1,0,0,0,1,1,1,1,0,0,method_sensitive,AGREE_AB_0.1
LTMD-CN5-G1972-VP006-F004,LTMD-CN5-G1972-VP006,1972,instruction_candidate,textual,0.0,0.0,0,0,0,0,0,3,1,2,0,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP006-F005,LTMD-CN5-G1972-VP006,1972,instruction_candidate,textual,0.0,0.0,0,0,0,0,0,3,1,2,0,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP006-F006,LTMD-CN5-G1972-VP006,1972,instruction_candidate,textual,0.333333,0.5,0,0,0,0,1,3,1,2,0,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP006-F007,LTMD-CN5-G1972-VP006,1972,expository_candidate,textual,0.0,0.0,0,0,0,0,0,3,1,2,0,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP006-F008,LTMD-CN5-G1972-VP006,1972,instruction_candidate,textual,0.0,0.0,0,0,0,0,0,3,1,2,0,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP006-F009,LTMD-CN5-G1972-VP006,1972,expository_candidate,textual,0.0,0.5,0,0,0,0,0,3,1,2,0,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP006-F010,LTMD-CN5-G1972-VP006,1972,heading_candidate,textual,1.0,1.0,1,1,1,1,0,0,0,0,0,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP006-F011,LTMD-CN5-G1972-VP006,1972,instruction_candidate,textual,0.0,0.0,0,0,0,0,0,1,1,2,0,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP006-F012,LTMD-CN5-G1972-VP006,1972,expository_candidate,textual,0.0,0.5,0,0,0,0,0,3,1,2,0,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP011-F001,LTMD-CN5-G1972-VP011,1972,heading_candidate,textual,1.0,1.0,1,1,1,1,0,0,0,0,0,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP011-F002,LTMD-CN5-G1972-VP011,1972,heading_candidate,textual,1.0,1.0,1,1,1,1,0,0,0,0,0,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP011-F003,LTMD-CN5-G1972-VP011,1972,instruction_candidate,textual,0.0,0.0,0,0,0,0,0,2,1,2,0,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP011-F004,LTMD-CN5-G1972-VP011,1972,question_candidate,textual,1.0,0.0,1,0,1,0,0,0,0,2,0,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP011-F005,LTMD-CN5-G1972-VP011,1972,heading_candidate,textual,1.0,1.0,1,1,1,1,0,0,0,0,0,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP011-F006,LTMD-CN5-G1972-VP011,1972,expository_candidate,textual,0.0,0.5,0,0,0,0,0,3,1,2,0,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP011-F007,LTMD-CN5-G1972-VP011,1972,instruction_candidate,textual,0.0,0.0,0,0,0,0,1,0,1,2,0,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP011-F008,LTMD-CN5-G1972-VP011,1972,question_candidate,textual,0.0,0.0,0,0,0,0,0,2,0,2,0,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP011-F009,LTMD-CN5-G1972-VP011,1972,heading_candidate,textual,1.0,1.0,1,1,1,1,0,0,0,0,0,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP011-F010,LTMD-CN5-G1972-VP011,1972,instruction_candidate,textual,0.333333,0.0,0,0,0,0,1,3,1,2,0,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP011-F011,LTMD-CN5-G1972-VP011,1972,heading_candidate,textual,1.0,1.0,1,1,1,1,0,0,0,0,0,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP013-F001,LTMD-CN5-G1972-VP013,1972,question_candidate,mixed_text_image,0.0,0.0,0,0,0,0,1,0,1,2,1,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP013-F002,LTMD-CN5-G1972-VP013,1972,question_candidate,mixed_text_image,1.0,0.0,1,0,1,0,0,0,0,2,1,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP013-F003,LTMD-CN5-G1972-VP013,1972,heading_candidate,mixed_text_image,1.0,1.0,1,1,1,1,0,0,0,0,1,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP014-F001,LTMD-CN5-G1972-VP014,1972,question_candidate,textual,1.0,0.0,1,0,1,0,0,0,0,2,0,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP014-F002,LTMD-CN5-G1972-VP014,1972,instruction_candidate,textual,0.0,0.0,0,0,0,0,0,3,1,2,0,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP014-F003,LTMD-CN5-G1972-VP014,1972,expository_candidate,textual,1.0,0.0,1,0,1,0,0,0,1,2,0,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP014-F004,LTMD-CN5-G1972-VP014,1972,instruction_candidate,textual,1.0,0.0,1,0,1,0,0,0,1,2,0,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP014-F005,LTMD-CN5-G1972-VP014,1972,instruction_candidate,textual,1.0,0.0,1,0,1,0,0,0,1,2,0,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP014-F006,LTMD-CN5-G1972-VP014,1972,instruction_candidate,textual,0.0,0.0,0,0,0,0,0,3,1,2,0,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP014-F007,LTMD-CN5-G1972-VP014,1972,heading_candidate,textual,1.0,1.0,1,1,1,1,0,0,0,0,0,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP014-F008,LTMD-CN5-G1972-VP014,1972,expository_candidate,textual,0.0,0.0,0,0,0,0,0,3,1,2,0,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP014-F009,LTMD-CN5-G1972-VP014,1972,heading_candidate,textual,1.0,1.0,1,1,1,1,0,0,0,0,0,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP015-F001,LTMD-CN5-G1972-VP015,1972,instruction_candidate,mixed_text_image,0.0,0.0,0,0,0,0,0,3,1,2,0,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP015-F002,LTMD-CN5-G1972-VP015,1972,expository_candidate,mixed_text_image,0.0,0.0,0,0,0,0,0,3,1,2,0,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP015-F003,LTMD-CN5-G1972-VP015,1972,heading_candidate,mixed_text_image,1.0,1.0,1,1,1,1,0,0,0,0,0,1,uncertain,AGREE_AB_0.1
